Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
HTTP Request,3,2042,2032,2053,"8,58","100,000%","1,10824","2,94","0,00","2720,0"
Total,3,2042,2032,2053,"8,58","100,000%","1,10824","2,94","0,00","2720,0"
