timestamp,container,cpu,mem
1757317853,backend_container,2.59%,131.9MiB / 7.724GiB
1757317853,elasticsearch_container,0.36%,1.051GiB / 7.724GiB
1757317853,postgres_container,0.00%,60.41MiB / 7.724GiB
1757317861,backend_container,3.90%,131.8MiB / 7.724GiB
1757317861,elasticsearch_container,4.71%,1.052GiB / 7.724GiB
1757317861,postgres_container,0.00%,63.69MiB / 7.724GiB
1757317868,backend_container,3.55%,131.3MiB / 7.724GiB
1757317868,elasticsearch_container,0.48%,1.052GiB / 7.724GiB
1757317868,postgres_container,2.77%,51.31MiB / 7.724GiB
1757317876,backend_container,5.11%,131.6MiB / 7.724GiB
1757317876,elasticsearch_container,3.99%,1.053GiB / 7.724GiB
1757317876,postgres_container,1.45%,52.94MiB / 7.724GiB
1757317883,backend_container,2.86%,132MiB / 7.724GiB
1757317883,elasticsearch_container,0.37%,1.052GiB / 7.724GiB
1757317883,postgres_container,0.01%,52.84MiB / 7.724GiB
1757317890,backend_container,3.70%,131.7MiB / 7.724GiB
1757317890,elasticsearch_container,5.99%,1.053GiB / 7.724GiB
1757317890,postgres_container,0.00%,54.86MiB / 7.724GiB
1757317898,backend_container,3.90%,131.4MiB / 7.724GiB
1757317898,elasticsearch_container,0.37%,1.053GiB / 7.724GiB
1757317898,postgres_container,4.49%,56.8MiB / 7.724GiB
1757317905,backend_container,1.19%,131.5MiB / 7.724GiB
1757317905,elasticsearch_container,2.98%,1.053GiB / 7.724GiB
1757317905,postgres_container,1.17%,60.35MiB / 7.724GiB
1757317912,backend_container,4.24%,131.9MiB / 7.724GiB
1757317912,elasticsearch_container,0.32%,1.053GiB / 7.724GiB
1757317912,postgres_container,0.00%,62.05MiB / 7.724GiB
1757317920,backend_container,0.92%,132MiB / 7.724GiB
1757317920,elasticsearch_container,0.35%,1.053GiB / 7.724GiB
1757317920,postgres_container,1.07%,63.81MiB / 7.724GiB
1757317928,backend_container,4.25%,131.6MiB / 7.724GiB
1757317928,elasticsearch_container,0.42%,1.053GiB / 7.724GiB
1757317928,postgres_container,4.47%,65.99MiB / 7.724GiB
1757317935,backend_container,3.03%,131.9MiB / 7.724GiB
1757317935,elasticsearch_container,2.12%,1.053GiB / 7.724GiB
1757317935,postgres_container,0.00%,67.38MiB / 7.724GiB
1757317942,backend_container,3.26%,132.1MiB / 7.724GiB
1757317942,elasticsearch_container,0.37%,1.053GiB / 7.724GiB
1757317942,postgres_container,0.00%,71.21MiB / 7.724GiB
1757317950,backend_container,1.66%,132.1MiB / 7.724GiB
1757317950,elasticsearch_container,5.74%,1.054GiB / 7.724GiB
1757317950,postgres_container,1.13%,54.75MiB / 7.724GiB
1757317958,backend_container,2.32%,131.6MiB / 7.724GiB
1757317958,elasticsearch_container,0.39%,1.055GiB / 7.724GiB
1757317958,postgres_container,4.20%,55.56MiB / 7.724GiB
1757317965,backend_container,5.32%,131.9MiB / 7.724GiB
1757317965,elasticsearch_container,2.63%,1.055GiB / 7.724GiB
1757317965,postgres_container,1.49%,58.43MiB / 7.724GiB
1757317972,backend_container,2.24%,132MiB / 7.724GiB
1757317972,elasticsearch_container,0.36%,1.056GiB / 7.724GiB
1757317972,postgres_container,0.00%,60.12MiB / 7.724GiB
1757317980,backend_container,2.98%,131.7MiB / 7.724GiB
1757317980,elasticsearch_container,3.98%,1.051GiB / 7.724GiB
1757317980,postgres_container,0.75%,63.97MiB / 7.724GiB
1757317988,backend_container,1.61%,131.9MiB / 7.724GiB
1757317988,elasticsearch_container,0.50%,1.052GiB / 7.724GiB
1757317988,postgres_container,0.00%,64.06MiB / 7.724GiB
1757317995,backend_container,4.05%,131.8MiB / 7.724GiB
1757317995,elasticsearch_container,2.12%,1.052GiB / 7.724GiB
1757317995,postgres_container,1.15%,67.41MiB / 7.724GiB
1757318002,backend_container,1.92%,132MiB / 7.724GiB
1757318002,elasticsearch_container,0.38%,1.052GiB / 7.724GiB
1757318002,postgres_container,0.01%,69.28MiB / 7.724GiB
1757318010,backend_container,2.60%,132MiB / 7.724GiB
1757318010,elasticsearch_container,3.66%,1.052GiB / 7.724GiB
1757318010,postgres_container,0.73%,71.11MiB / 7.724GiB
1757318018,backend_container,0.25%,131.8MiB / 7.724GiB
1757318018,elasticsearch_container,0.37%,1.052GiB / 7.724GiB
1757318018,postgres_container,0.01%,72.78MiB / 7.724GiB
1757318025,backend_container,4.26%,131.6MiB / 7.724GiB
1757318025,elasticsearch_container,3.73%,1.053GiB / 7.724GiB
1757318025,postgres_container,1.24%,56.62MiB / 7.724GiB
1757318032,backend_container,3.76%,132.1MiB / 7.724GiB
1757318032,elasticsearch_container,4.79%,1.056GiB / 7.724GiB
1757318032,postgres_container,0.01%,58.38MiB / 7.724GiB
1757318040,backend_container,2.48%,132MiB / 7.724GiB
1757318040,elasticsearch_container,1.97%,1.058GiB / 7.724GiB
1757318040,postgres_container,0.00%,60.24MiB / 7.724GiB
1757318048,backend_container,0.14%,132.1MiB / 7.724GiB
1757318048,elasticsearch_container,0.41%,1.059GiB / 7.724GiB
1757318048,postgres_container,0.01%,61.98MiB / 7.724GiB
1757318055,backend_container,6.62%,132.2MiB / 7.724GiB
1757318055,elasticsearch_container,2.85%,1.06GiB / 7.724GiB
1757318055,postgres_container,0.00%,63.81MiB / 7.724GiB
1757318062,backend_container,2.52%,132.2MiB / 7.724GiB
1757318062,elasticsearch_container,0.32%,1.06GiB / 7.724GiB
1757318062,postgres_container,0.00%,67.5MiB / 7.724GiB
1757318070,backend_container,5.35%,131.8MiB / 7.724GiB
1757318070,elasticsearch_container,7.46%,1.06GiB / 7.724GiB
1757318070,postgres_container,0.00%,69.36MiB / 7.724GiB
1757318078,backend_container,4.10%,132.6MiB / 7.724GiB
1757318078,elasticsearch_container,0.36%,1.06GiB / 7.724GiB
1757318078,postgres_container,0.00%,71.05MiB / 7.724GiB
1757318085,backend_container,0.90%,132.5MiB / 7.724GiB
