timestamp,container,cpu,mem
1757317494,backend_container,1.91%,131.6MiB / 7.724GiB
1757317494,elasticsearch_container,0.38%,1.034GiB / 7.724GiB
1757317494,postgres_container,0.01%,49.09MiB / 7.724GiB
1757317501,backend_container,3.08%,131.2MiB / 7.724GiB
1757317501,elasticsearch_container,0.43%,1.036GiB / 7.724GiB
1757317501,postgres_container,0.00%,50.69MiB / 7.724GiB
1757317509,backend_container,1.92%,132.1MiB / 7.724GiB
1757317509,elasticsearch_container,0.38%,1.036GiB / 7.724GiB
1757317509,postgres_container,0.00%,50.68MiB / 7.724GiB
1757317516,backend_container,2.42%,131.3MiB / 7.724GiB
1757317516,elasticsearch_container,1.25%,1.037GiB / 7.724GiB
1757317516,postgres_container,0.00%,50.96MiB / 7.724GiB
1757317523,backend_container,3.15%,131.6MiB / 7.724GiB
1757317523,elasticsearch_container,0.39%,1.037GiB / 7.724GiB
1757317523,postgres_container,0.00%,50.88MiB / 7.724GiB
1757317531,backend_container,5.08%,131.4MiB / 7.724GiB
1757317531,elasticsearch_container,0.41%,1.038GiB / 7.724GiB
1757317531,postgres_container,0.00%,52.7MiB / 7.724GiB
1757317538,backend_container,1.39%,131.5MiB / 7.724GiB
1757317538,elasticsearch_container,0.38%,1.038GiB / 7.724GiB
1757317538,postgres_container,0.00%,52.63MiB / 7.724GiB
1757317546,backend_container,0.85%,131.5MiB / 7.724GiB
1757317546,elasticsearch_container,3.91%,1.038GiB / 7.724GiB
1757317546,postgres_container,0.00%,52.8MiB / 7.724GiB
1757317553,backend_container,3.79%,131.7MiB / 7.724GiB
1757317553,elasticsearch_container,0.34%,1.038GiB / 7.724GiB
1757317553,postgres_container,0.00%,52.68MiB / 7.724GiB
1757317561,backend_container,3.24%,131.4MiB / 7.724GiB
1757317561,elasticsearch_container,0.40%,1.038GiB / 7.724GiB
1757317561,postgres_container,0.00%,52.91MiB / 7.724GiB
1757317569,backend_container,2.71%,131.6MiB / 7.724GiB
1757317569,elasticsearch_container,0.49%,1.038GiB / 7.724GiB
1757317569,postgres_container,0.00%,52.73MiB / 7.724GiB
1757317576,backend_container,3.87%,131.1MiB / 7.724GiB
1757317576,elasticsearch_container,0.37%,1.039GiB / 7.724GiB
1757317576,postgres_container,0.00%,53.13MiB / 7.724GiB
1757317583,backend_container,3.30%,131.5MiB / 7.724GiB
1757317583,elasticsearch_container,0.45%,1.04GiB / 7.724GiB
1757317583,postgres_container,0.01%,52.82MiB / 7.724GiB
1757317591,backend_container,0.15%,131.9MiB / 7.724GiB
1757317591,elasticsearch_container,0.52%,1.043GiB / 7.724GiB
1757317591,postgres_container,0.00%,54.39MiB / 7.724GiB
1757317599,backend_container,3.95%,131.4MiB / 7.724GiB
1757317599,elasticsearch_container,0.41%,1.044GiB / 7.724GiB
1757317599,postgres_container,0.00%,54.41MiB / 7.724GiB
1757317606,backend_container,1.84%,131.4MiB / 7.724GiB
1757317606,elasticsearch_container,0.50%,1.044GiB / 7.724GiB
1757317606,postgres_container,0.00%,54.67MiB / 7.724GiB
1757317613,backend_container,0.60%,131.7MiB / 7.724GiB
1757317613,elasticsearch_container,0.40%,1.044GiB / 7.724GiB
1757317613,postgres_container,0.00%,54.66MiB / 7.724GiB
1757317621,backend_container,3.85%,131.5MiB / 7.724GiB
1757317621,elasticsearch_container,0.35%,1.048GiB / 7.724GiB
1757317621,postgres_container,0.00%,56.7MiB / 7.724GiB
1757317629,backend_container,1.20%,131.4MiB / 7.724GiB
1757317629,elasticsearch_container,0.49%,1.049GiB / 7.724GiB
1757317629,postgres_container,0.00%,56.58MiB / 7.724GiB
1757317636,backend_container,4.75%,131.4MiB / 7.724GiB
1757317636,elasticsearch_container,0.40%,1.049GiB / 7.724GiB
1757317636,postgres_container,0.10%,56.68MiB / 7.724GiB
1757317643,backend_container,2.62%,131.4MiB / 7.724GiB
1757317643,elasticsearch_container,0.42%,1.048GiB / 7.724GiB
1757317643,postgres_container,0.07%,56.57MiB / 7.724GiB
1757317651,backend_container,3.82%,131.8MiB / 7.724GiB
1757317651,elasticsearch_container,0.38%,1.049GiB / 7.724GiB
1757317651,postgres_container,0.09%,56.56MiB / 7.724GiB
1757317659,backend_container,3.80%,131.6MiB / 7.724GiB
1757317659,elasticsearch_container,0.31%,1.05GiB / 7.724GiB
1757317659,postgres_container,0.06%,56.55MiB / 7.724GiB
1757317666,backend_container,3.40%,131.2MiB / 7.724GiB
1757317666,elasticsearch_container,0.35%,1.049GiB / 7.724GiB
1757317666,postgres_container,4.62%,56.77MiB / 7.724GiB
1757317673,backend_container,3.95%,131.4MiB / 7.724GiB
1757317673,elasticsearch_container,0.34%,1.049GiB / 7.724GiB
1757317673,postgres_container,0.17%,56.89MiB / 7.724GiB
1757317681,backend_container,4.11%,131.7MiB / 7.724GiB
1757317681,elasticsearch_container,2.34%,1.05GiB / 7.724GiB
1757317681,postgres_container,0.01%,58.37MiB / 7.724GiB
1757317689,backend_container,1.65%,131.6MiB / 7.724GiB
1757317689,elasticsearch_container,0.33%,1.05GiB / 7.724GiB
1757317689,postgres_container,0.00%,58.33MiB / 7.724GiB
1757317696,backend_container,1.13%,131.5MiB / 7.724GiB
1757317696,elasticsearch_container,1.24%,1.05GiB / 7.724GiB
1757317696,postgres_container,4.34%,58.25MiB / 7.724GiB
1757317703,backend_container,4.07%,132.1MiB / 7.724GiB
1757317703,elasticsearch_container,0.37%,1.05GiB / 7.724GiB
1757317703,postgres_container,0.00%,58.19MiB / 7.724GiB
1757317711,backend_container,3.49%,131.7MiB / 7.724GiB
1757317711,elasticsearch_container,0.36%,1.05GiB / 7.724GiB
1757317711,postgres_container,0.00%,58.34MiB / 7.724GiB
1757317719,backend_container,3.65%,131.5MiB / 7.724GiB
1757317719,elasticsearch_container,0.33%,1.05GiB / 7.724GiB
1757317719,postgres_container,0.00%,58.56MiB / 7.724GiB
1757317726,backend_container,3.81%,131.5MiB / 7.724GiB
1757317726,elasticsearch_container,0.32%,1.05GiB / 7.724GiB
1757317726,postgres_container,5.04%,58.41MiB / 7.724GiB
1757317733,backend_container,1.53%,131.6MiB / 7.724GiB
1757317733,elasticsearch_container,0.36%,1.05GiB / 7.724GiB
1757317733,postgres_container,0.00%,58.37MiB / 7.724GiB
1757317741,backend_container,3.62%,131.6MiB / 7.724GiB
1757317741,elasticsearch_container,0.69%,1.05GiB / 7.724GiB
1757317741,postgres_container,0.00%,60.23MiB / 7.724GiB
1757317749,backend_container,3.46%,131.8MiB / 7.724GiB
1757317749,elasticsearch_container,0.33%,1.05GiB / 7.724GiB
1757317749,postgres_container,0.00%,60.14MiB / 7.724GiB
1757317756,backend_container,1.96%,131.2MiB / 7.724GiB
1757317756,elasticsearch_container,0.31%,1.05GiB / 7.724GiB
1757317756,postgres_container,4.36%,60.42MiB / 7.724GiB
1757317763,backend_container,3.82%,131.9MiB / 7.724GiB
1757317763,elasticsearch_container,0.41%,1.05GiB / 7.724GiB
1757317763,postgres_container,0.00%,60.11MiB / 7.724GiB
1757317771,backend_container,1.45%,131.6MiB / 7.724GiB
1757317771,elasticsearch_container,0.38%,1.05GiB / 7.724GiB
