Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
HTTP Request,100,49,42,75,"6,04","0,000%",",33666","8,31","0,09","25280,0"
Total,100,49,42,75,"6,04","0,000%",",33666","8,31","0,09","25280,0"
