Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
HTTP Request,1000,49,40,130,"7,92","0,000%","3,33602","82,36","0,87","25280,0"
Total,1000,49,40,130,"7,92","0,000%","3,33602","82,36","0,87","25280,0"
