samples,avg_latency_ms,min_latency_ms,max_latency_ms,stddev,error_rate,throughput_req_s,kb_per_sec,scenario
1,36.0,36.0,36.0,0.0,"0,000%",27.7778,685.76,1
10,40.0,34.0,47.0,4.53,"0,000%",0.037,0.91,10
100,37.0,27.0,51.0,4.22,"0,000%",0.3367,8.31,100
1001,37.0,25.0,60.0,4.34,"0,000%",3.3362,82.36,1000
4981,25.0,23.0,245.0,7.19,"0,000%",16.6042,409.92,5000
