Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
HTTP Request,1,36,36,36,"0,00","0,000%","27,77778","685,76","7,08","25280,0"
Total,1,36,36,36,"0,00","0,000%","27,77778","685,76","7,08","25280,0"
