Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
HTTP Request,1001,37,25,60,4.34,0.000%,3.33617,82.36,0.85,25280.0
TOTAL,1001,37,25,60,4.34,0.000%,3.33617,82.36,0.85,25280.0
