Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
HTTP Request,10,72,59,109,"13,04","0,000%",",03703","0,92","0,01","25306,0"
Total,10,72,59,109,"13,04","0,000%",",03703","0,92","0,01","25306,0"
