samples,avg_latency_ms,min_latency_ms,max_latency_ms,stddev,error_rate,throughput_req_s,kb_per_sec,scenario
3,53.0,47.0,58.0,4.64,"0,000%",4.1899,102.23,1
10,72.0,59.0,109.0,13.04,"0,000%",0.037,0.92,10
100,62.0,53.0,100.0,8.93,"0,000%",0.3366,8.32,100
1000,61.0,53.0,123.0,7.27,"0,000%",3.3359,82.44,1000
3493,64.0,52.0,5058.0,85.02,"0,000%",11.6416,287.7,5000
