Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
HTTP Request,3,53,47,58,"4,64","0,000%","4,18994","102,23","0,54","24984,0"
Total,3,53,47,58,"4,64","0,000%","4,18994","102,23","0,54","24984,0"
