Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
HTTP Request,3493,64,52,5058,"85,02","0,000%","11,64155","287,70","3,01","25306,0"
Total,3493,64,52,5058,"85,02","0,000%","11,64155","287,70","3,01","25306,0"
