timestamp,container,cpu,mem
1757307186,proxy_nginx_container,0.00%,12.3MiB / 7.724GiB
1757307186,proxy_backend_container,1.13%,105.1MiB / 7.724GiB
1757307186,proxy_postgres_container,5.29%,71.74MiB / 7.724GiB
1757307193,proxy_nginx_container,0.33%,12.43MiB / 7.724GiB
1757307193,proxy_backend_container,12.21%,105.4MiB / 7.724GiB
1757307193,proxy_postgres_container,9.17%,71.68MiB / 7.724GiB
1757307201,proxy_nginx_container,0.35%,12.32MiB / 7.724GiB
1757307201,proxy_backend_container,10.27%,105.5MiB / 7.724GiB
1757307201,proxy_postgres_container,11.08%,75.93MiB / 7.724GiB
1757307208,proxy_nginx_container,0.43%,12.45MiB / 7.724GiB
1757307208,proxy_backend_container,11.05%,105.4MiB / 7.724GiB
1757307208,proxy_postgres_container,9.48%,82.61MiB / 7.724GiB
1757307216,proxy_nginx_container,0.32%,12.45MiB / 7.724GiB
1757307216,proxy_backend_container,9.88%,105.5MiB / 7.724GiB
1757307216,proxy_postgres_container,14.01%,85.18MiB / 7.724GiB
1757307223,proxy_nginx_container,0.42%,12.57MiB / 7.724GiB
1757307223,proxy_backend_container,10.06%,105.5MiB / 7.724GiB
1757307223,proxy_postgres_container,8.88%,84.89MiB / 7.724GiB
1757307231,proxy_nginx_container,0.43%,12.45MiB / 7.724GiB
1757307231,proxy_backend_container,11.47%,105.7MiB / 7.724GiB
1757307231,proxy_postgres_container,10.35%,89.7MiB / 7.724GiB
1757307238,proxy_nginx_container,0.42%,12.57MiB / 7.724GiB
1757307238,proxy_backend_container,8.08%,105.7MiB / 7.724GiB
1757307238,proxy_postgres_container,10.15%,95.74MiB / 7.724GiB
1757307246,proxy_nginx_container,0.45%,12.57MiB / 7.724GiB
1757307246,proxy_backend_container,10.63%,106.1MiB / 7.724GiB
1757307246,proxy_postgres_container,13.65%,98.34MiB / 7.724GiB
1757307253,proxy_nginx_container,0.42%,12.71MiB / 7.724GiB
1757307253,proxy_backend_container,9.24%,105.8MiB / 7.724GiB
1757307253,proxy_postgres_container,15.12%,78.39MiB / 7.724GiB
1757307261,proxy_nginx_container,0.36%,12.34MiB / 7.724GiB
1757307261,proxy_backend_container,11.52%,105.9MiB / 7.724GiB
1757307261,proxy_postgres_container,13.10%,78.52MiB / 7.724GiB
1757307268,proxy_nginx_container,0.53%,12.46MiB / 7.724GiB
1757307268,proxy_backend_container,16.88%,106.2MiB / 7.724GiB
1757307268,proxy_postgres_container,10.11%,102.7MiB / 7.724GiB
1757307276,proxy_nginx_container,0.32%,12.34MiB / 7.724GiB
1757307276,proxy_backend_container,11.01%,106.1MiB / 7.724GiB
1757307276,proxy_postgres_container,13.43%,107.1MiB / 7.724GiB
1757307284,proxy_nginx_container,0.44%,12.46MiB / 7.724GiB
1757307284,proxy_backend_container,11.08%,106.1MiB / 7.724GiB
1757307284,proxy_postgres_container,10.20%,84.84MiB / 7.724GiB
1757307291,proxy_nginx_container,0.34%,12.46MiB / 7.724GiB
1757307291,proxy_backend_container,10.88%,106.3MiB / 7.724GiB
1757307291,proxy_postgres_container,10.46%,89.38MiB / 7.724GiB
1757307298,proxy_nginx_container,0.36%,12.58MiB / 7.724GiB
1757307298,proxy_backend_container,12.29%,106.4MiB / 7.724GiB
1757307298,proxy_postgres_container,12.23%,93.92MiB / 7.724GiB
1757307306,proxy_nginx_container,0.47%,12.46MiB / 7.724GiB
1757307306,proxy_backend_container,9.27%,106.3MiB / 7.724GiB
1757307306,proxy_postgres_container,12.99%,94.34MiB / 7.724GiB
1757307313,proxy_nginx_container,0.47%,12.46MiB / 7.724GiB
1757307313,proxy_backend_container,12.92%,106.2MiB / 7.724GiB
1757307313,proxy_postgres_container,9.42%,51.77MiB / 7.724GiB
1757307321,proxy_nginx_container,0.33%,12.34MiB / 7.724GiB
1757307321,proxy_backend_container,10.49%,106.7MiB / 7.724GiB
1757307321,proxy_postgres_container,9.23%,58.33MiB / 7.724GiB
1757307328,proxy_nginx_container,0.39%,12.57MiB / 7.724GiB
1757307328,proxy_backend_container,13.64%,106.4MiB / 7.724GiB
1757307328,proxy_postgres_container,10.53%,60.35MiB / 7.724GiB
1757307336,proxy_nginx_container,0.36%,12.59MiB / 7.724GiB
1757307336,proxy_backend_container,14.89%,106.6MiB / 7.724GiB
1757307336,proxy_postgres_container,11.25%,66.9MiB / 7.724GiB
1757307344,proxy_nginx_container,0.33%,12.71MiB / 7.724GiB
1757307344,proxy_backend_container,11.46%,106.4MiB / 7.724GiB
1757307344,proxy_postgres_container,12.43%,67.11MiB / 7.724GiB
1757307351,proxy_nginx_container,0.39%,12.46MiB / 7.724GiB
1757307351,proxy_backend_container,11.96%,106.8MiB / 7.724GiB
1757307351,proxy_postgres_container,9.33%,71.55MiB / 7.724GiB
1757307358,proxy_nginx_container,0.38%,12.34MiB / 7.724GiB
1757307358,proxy_backend_container,12.77%,106.5MiB / 7.724GiB
1757307358,proxy_postgres_container,16.53%,73.94MiB / 7.724GiB
1757307366,proxy_nginx_container,0.39%,12.34MiB / 7.724GiB
1757307366,proxy_backend_container,9.11%,106.9MiB / 7.724GiB
1757307366,proxy_postgres_container,9.34%,75.88MiB / 7.724GiB
1757307374,proxy_nginx_container,0.42%,12.34MiB / 7.724GiB
1757307374,proxy_backend_container,10.01%,106.9MiB / 7.724GiB
1757307374,proxy_postgres_container,12.83%,80.61MiB / 7.724GiB
1757307381,proxy_nginx_container,0.36%,12.34MiB / 7.724GiB
1757307381,proxy_backend_container,11.11%,106.6MiB / 7.724GiB
1757307381,proxy_postgres_container,10.04%,85.06MiB / 7.724GiB
1757307388,proxy_nginx_container,0.37%,12.34MiB / 7.724GiB
1757307388,proxy_backend_container,9.77%,106.8MiB / 7.724GiB
1757307388,proxy_postgres_container,16.64%,87.23MiB / 7.724GiB
1757307396,proxy_nginx_container,0.35%,12.34MiB / 7.724GiB
1757307396,proxy_backend_container,12.76%,106.9MiB / 7.724GiB
1757307396,proxy_postgres_container,8.83%,89.38MiB / 7.724GiB
1757307404,proxy_nginx_container,0.38%,12.46MiB / 7.724GiB
1757307404,proxy_backend_container,11.82%,106.6MiB / 7.724GiB
1757307404,proxy_postgres_container,12.51%,93.83MiB / 7.724GiB
1757307411,proxy_nginx_container,0.33%,12.57MiB / 7.724GiB
1757307411,proxy_backend_container,11.96%,106.6MiB / 7.724GiB
1757307411,proxy_postgres_container,9.17%,98.23MiB / 7.724GiB
1757307418,proxy_nginx_container,0.39%,12.46MiB / 7.724GiB
1757307418,proxy_backend_container,10.51%,106.4MiB / 7.724GiB
1757307418,proxy_postgres_container,12.99%,102.7MiB / 7.724GiB
