Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
HTTP Request,4961,24,22,250,"10,91","0,000%","16,53667","408,25","4,21","25280,0"
Total,4961,24,22,250,"10,91","0,000%","16,53667","408,25","4,21","25280,0"
