samples,avg_latency_ms,min_latency_ms,max_latency_ms,stddev,error_rate,throughput_req_s,kb_per_sec,scenario
100,37.0,26.0,46.0,4.3,"0,000%",0.3367,8.31,1
10,38.0,32.0,43.0,3.78,"0,000%",0.037,0.91,10
100,37.0,26.0,46.0,4.3,"0,000%",0.3367,8.31,100
1000,37.0,25.0,260.0,12.7,"0,000%",3.3362,82.36,1000
4961,24.0,22.0,250.0,10.91,"0,000%",16.5367,408.25,5000
