timestamp,container,cpu,mem
1757308203,backend_container,1.47%,84.39MiB / 7.653GiB
1757308203,postgres_container,0.00%,48.61MiB / 7.653GiB
1757308211,backend_container,6.68%,84.68MiB / 7.653GiB
1757308211,postgres_container,6.77%,48.97MiB / 7.653GiB
1757308217,backend_container,6.97%,85.02MiB / 7.653GiB
1757308217,postgres_container,5.66%,53.2MiB / 7.653GiB
1757308225,backend_container,6.05%,85.11MiB / 7.653GiB
1757308225,postgres_container,6.13%,55.34MiB / 7.653GiB
1757308232,backend_container,7.61%,85.1MiB / 7.653GiB
1757308232,postgres_container,5.54%,55.32MiB / 7.653GiB
1757308240,backend_container,8.96%,84.98MiB / 7.653GiB
1757308240,postgres_container,4.61%,59.73MiB / 7.653GiB
1757308247,backend_container,7.07%,85.24MiB / 7.653GiB
1757308247,postgres_container,7.12%,64.19MiB / 7.653GiB
1757308254,backend_container,6.01%,85.59MiB / 7.653GiB
1757308254,postgres_container,7.22%,64.18MiB / 7.653GiB
1757308262,backend_container,5.42%,85.39MiB / 7.653GiB
1757308262,postgres_container,6.00%,66.54MiB / 7.653GiB
1757308269,backend_container,7.10%,85.45MiB / 7.653GiB
1757308269,postgres_container,7.76%,71.51MiB / 7.653GiB
1757308277,backend_container,7.50%,84.99MiB / 7.653GiB
1757308277,postgres_container,5.11%,73.34MiB / 7.653GiB
1757308284,backend_container,5.47%,85.31MiB / 7.653GiB
1757308284,postgres_container,7.03%,77.61MiB / 7.653GiB
1757308292,backend_container,5.70%,85.55MiB / 7.653GiB
1757308292,postgres_container,5.21%,82.07MiB / 7.653GiB
1757308300,backend_container,5.29%,84.85MiB / 7.653GiB
1757308300,postgres_container,6.75%,88.8MiB / 7.653GiB
1757308307,backend_container,6.16%,85.39MiB / 7.653GiB
1757308307,postgres_container,5.58%,86.7MiB / 7.653GiB
1757308315,backend_container,6.12%,85.47MiB / 7.653GiB
1757308315,postgres_container,7.24%,93.24MiB / 7.653GiB
1757308322,backend_container,6.91%,85.57MiB / 7.653GiB
1757308322,postgres_container,5.12%,100.1MiB / 7.653GiB
1757308330,backend_container,5.16%,85.77MiB / 7.653GiB
1757308330,postgres_container,7.62%,104.4MiB / 7.653GiB
1757308337,backend_container,6.12%,85.61MiB / 7.653GiB
1757308337,postgres_container,6.95%,104.5MiB / 7.653GiB
1757308345,backend_container,6.45%,85.72MiB / 7.653GiB
1757308345,postgres_container,6.30%,106.6MiB / 7.653GiB
1757308353,backend_container,6.46%,85.99MiB / 7.653GiB
1757308353,postgres_container,8.85%,89.28MiB / 7.653GiB
1757308360,backend_container,6.62%,85.78MiB / 7.653GiB
1757308360,postgres_container,12.05%,93.27MiB / 7.653GiB
1757308368,backend_container,7.03%,86.3MiB / 7.653GiB
1757308368,postgres_container,11.36%,94.2MiB / 7.653GiB
1757308375,backend_container,5.65%,85.88MiB / 7.653GiB
1757308375,postgres_container,9.67%,98.36MiB / 7.653GiB
1757308383,backend_container,7.94%,85.86MiB / 7.653GiB
1757308383,postgres_container,13.75%,32.21MiB / 7.653GiB
1757308391,backend_container,8.96%,85.62MiB / 7.653GiB
1757308391,postgres_container,9.64%,33.86MiB / 7.653GiB
1757308398,backend_container,6.96%,85.93MiB / 7.653GiB
1757308398,postgres_container,5.34%,42.66MiB / 7.653GiB
1757308406,backend_container,6.17%,85.86MiB / 7.653GiB
1757308406,postgres_container,4.87%,46.93MiB / 7.653GiB
1757308413,backend_container,6.11%,86.32MiB / 7.653GiB
1757308413,postgres_container,7.92%,51.5MiB / 7.653GiB
1757308421,backend_container,6.37%,85.73MiB / 7.653GiB
1757308421,postgres_container,8.66%,50.4MiB / 7.653GiB
1757308428,backend_container,5.96%,85.65MiB / 7.653GiB
1757308428,postgres_container,4.96%,58.12MiB / 7.653GiB
1757308436,backend_container,4.99%,85.88MiB / 7.653GiB
1757308436,postgres_container,4.68%,58.16MiB / 7.653GiB
1757308443,backend_container,5.22%,86.1MiB / 7.653GiB
1757308443,postgres_container,7.17%,60.42MiB / 7.653GiB
1757308450,backend_container,7.18%,85.89MiB / 7.653GiB
1757308450,postgres_container,5.20%,60.31MiB / 7.653GiB
1757308458,backend_container,5.96%,86.11MiB / 7.653GiB
1757308458,postgres_container,7.14%,64.84MiB / 7.653GiB
1757308465,backend_container,5.93%,85.62MiB / 7.653GiB
1757308465,postgres_container,5.61%,69.25MiB / 7.653GiB
1757308473,backend_container,6.33%,85.84MiB / 7.653GiB
1757308473,postgres_container,5.96%,74.25MiB / 7.653GiB
1757308481,backend_container,6.91%,85.92MiB / 7.653GiB
1757308481,postgres_container,7.84%,76.06MiB / 7.653GiB
1757308488,backend_container,7.24%,86.13MiB / 7.653GiB
1757308488,postgres_container,6.96%,80.42MiB / 7.653GiB
1757308495,backend_container,5.58%,85.67MiB / 7.653GiB
1757308495,postgres_container,7.47%,80.47MiB / 7.653GiB
1757308502,backend_container,5.29%,85.95MiB / 7.653GiB
1757308502,postgres_container,5.28%,86.94MiB / 7.653GiB
