scenario,container,avg_cpu,avg_mem
1,backend_container,1.3,83.59
1,postgres_container,2.82,28.77
10,backend_container,1.4168,84.0729
10,postgres_container,0.4587,43.6997
100,backend_container,1.692,84.4366
100,postgres_container,1.2293,49.541
1000,backend_container,6.319,85.5905
1000,postgres_container,6.8317,70.899
5000,backend_container,15.8056,87.3083
5000,postgres_container,22.178,108.4351
