Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
HTTP Request,10,38,32,43,3.78,0.000%,.03703,0.91,0.01,25280.0
TOTAL,10,38,32,43,3.78,0.000%,.03703,0.91,0.01,25280.0
