Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
HTTP Request,1,38,38,38,0.00,0.000%,26.31579,650.34,6.66,25306.0
Total,1,38,38,38,0.00,0.000%,26.31579,650.34,6.66,25306.0
