timestamp,container,cpu,mem
1757319526,full_nginx_container,0.57%,10.68MiB / 7.653GiB
1757319526,full_backend_container,13.63%,109.9MiB / 7.653GiB
1757319526,postgres_container,4.45%,65.6MiB / 7.653GiB
1757319526,full_redis_container,0.44%,9.656MiB / 7.653GiB
1757319526,elasticsearch_container,25.21%,1.035GiB / 7.653GiB
1757319534,full_nginx_container,0.74%,10.72MiB / 7.653GiB
1757319534,full_backend_container,19.36%,109.7MiB / 7.653GiB
1757319534,postgres_container,7.75%,74.86MiB / 7.653GiB
1757319534,full_redis_container,0.37%,9.645MiB / 7.653GiB
1757319534,elasticsearch_container,8.07%,1.035GiB / 7.653GiB
1757319541,full_nginx_container,0.78%,10.72MiB / 7.653GiB
1757319541,full_backend_container,20.28%,109.8MiB / 7.653GiB
1757319541,postgres_container,7.86%,51.22MiB / 7.653GiB
1757319541,full_redis_container,0.42%,9.645MiB / 7.653GiB
1757319541,elasticsearch_container,10.62%,1.036GiB / 7.653GiB
1757319549,full_nginx_container,0.83%,11.02MiB / 7.653GiB
1757319549,full_backend_container,20.87%,110.2MiB / 7.653GiB
1757319549,postgres_container,7.87%,60.26MiB / 7.653GiB
1757319549,full_redis_container,0.40%,9.645MiB / 7.653GiB
1757319549,elasticsearch_container,8.29%,1.036GiB / 7.653GiB
1757319556,full_nginx_container,0.70%,10.82MiB / 7.653GiB
1757319556,full_backend_container,19.50%,110.9MiB / 7.653GiB
1757319556,postgres_container,7.53%,89.17MiB / 7.653GiB
1757319556,full_redis_container,0.40%,9.645MiB / 7.653GiB
1757319556,elasticsearch_container,9.15%,1.036GiB / 7.653GiB
1757319563,full_nginx_container,0.70%,10.8MiB / 7.653GiB
1757319563,full_backend_container,18.79%,110.6MiB / 7.653GiB
1757319563,postgres_container,8.88%,49.56MiB / 7.653GiB
1757319563,full_redis_container,0.37%,9.645MiB / 7.653GiB
1757319563,elasticsearch_container,12.97%,1.037GiB / 7.653GiB
1757319571,full_nginx_container,0.65%,10.88MiB / 7.653GiB
1757319571,full_backend_container,18.98%,110.6MiB / 7.653GiB
1757319571,postgres_container,7.38%,78.25MiB / 7.653GiB
1757319571,full_redis_container,0.40%,9.895MiB / 7.653GiB
1757319571,elasticsearch_container,6.96%,1.037GiB / 7.653GiB
1757319578,full_nginx_container,0.64%,11.11MiB / 7.653GiB
1757319578,full_backend_container,19.06%,110.5MiB / 7.653GiB
1757319578,postgres_container,7.16%,51.23MiB / 7.653GiB
1757319578,full_redis_container,0.37%,9.645MiB / 7.653GiB
1757319578,elasticsearch_container,6.48%,1.037GiB / 7.653GiB
1757319586,full_nginx_container,0.68%,10.94MiB / 7.653GiB
1757319586,full_backend_container,19.24%,110.2MiB / 7.653GiB
1757319586,postgres_container,9.16%,49.57MiB / 7.653GiB
1757319586,full_redis_container,0.39%,9.645MiB / 7.653GiB
1757319586,elasticsearch_container,6.31%,1.037GiB / 7.653GiB
1757319593,full_nginx_container,0.71%,11.16MiB / 7.653GiB
1757319593,full_backend_container,18.86%,110.6MiB / 7.653GiB
1757319593,postgres_container,7.49%,89.09MiB / 7.653GiB
1757319593,full_redis_container,0.39%,9.645MiB / 7.653GiB
1757319593,elasticsearch_container,6.29%,1.038GiB / 7.653GiB
1757319601,full_nginx_container,0.71%,10.93MiB / 7.653GiB
1757319601,full_backend_container,18.68%,110.7MiB / 7.653GiB
1757319601,postgres_container,7.88%,49.47MiB / 7.653GiB
1757319601,full_redis_container,0.41%,9.645MiB / 7.653GiB
1757319601,elasticsearch_container,7.71%,1.038GiB / 7.653GiB
1757319608,full_nginx_container,0.65%,10.91MiB / 7.653GiB
1757319608,full_backend_container,18.87%,110.5MiB / 7.653GiB
1757319608,postgres_container,7.59%,71.12MiB / 7.653GiB
1757319608,full_redis_container,0.38%,9.645MiB / 7.653GiB
1757319608,elasticsearch_container,6.46%,1.038GiB / 7.653GiB
