samples,avg_latency_ms,min_latency_ms,max_latency_ms,stddev,error_rate,throughput_req_s,kb_per_sec,scenario
1,38.0,38.0,38.0,0.0,0.000%,26.3158,650.34,1
102,36.0,1.0,67.0,8.05,1.961%,0.3011,7.31,10
100,35.0,22.0,53.0,5.52,0.000%,0.3367,8.32,100
1001,33.0,20.0,88.0,6.05,0.000%,3.3362,82.45,1000
4996,20.0,17.0,102.0,3.65,0.000%,16.6527,411.54,5000
