Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
HTTP Request,100,35,22,53,5.52,0.000%,.33666,8.32,0.09,25306.0
Total,100,35,22,53,5.52,0.000%,.33666,8.32,0.09,25306.0
